Family, SMILES,Reference Compound,Formula,PelePhysics Key,Weight %
Toluene,CC1=CC=CC=C1,toluene,C7H8,C6H5CH3,0.07
C2-Benzene,CC1=CC=CC=C1,ethyl benzene,C8H10,C6H5C2H5,1.79
C3-Benzene,CCC1=CC=CC=C1,propyl benzene,C9H12,C6H5C3H7,4.54
C4-Benzene,CCCC1=CC=CC=C1,butyl benzene,C10H14,C6H5C4H9,3.27
C5-Benzene,CCCCC1=CC=CC=C1,pentyl benzene,C11H16,C6H5C5H11,2.73
C6-Benzene,CCCCCC1=CC=CC=C1,hexyl benzene,C12H18,C6H5C6H13,1.76
C7-Benzene,CCCCCCC1=CC=CC=C1,heptyl benzene,C13H20,C6H5C7H15,0.98
C8-Benzene,CCCCCCCC1=CC=CC=C1,octyl benzene,C14H22,C6H5C8H17,0.47
C9-Benzene,CCCCCCCCC1=CC=CC=C1,nonyl benzene,C15H24,C6H5C9H19,0.15
Diaromatic-C10,C1=CC=C2C=CC=CC2=C1,naphthalene,C10H8,NAPH,0.11
Diaromatic-C11,CC1=CC=C2C=CC=CC2=C1,1-methyl naphthalene,C11H10,METHYLNAPH-1,0.44
Diaromatic-C12,CCC1=CC=C2C=CC=CC2=C1,1-ethyl naphthalene,C12H12,ETHYLNAPH-1,0.63
Diaromatic-C13,CCCC1=CC=C2C=CC=CC2=C1,1-propyl naphthalene,C13H14,PROPYLNAPH-1,0.51
Cycloaromatic-C09,C1CC2=CC=CC=C2C1,indane,C9H10,INDANE,0.14
Cycloaromatic-C10,C1CCC2=CC=CC=C2C1,tetralin,C10H12,TETRA,0.45
Cycloaromatic-C11,CC1CCC2=CC=CC=C2C1,2-methyl tetralin,C11H14,METHYLTETRA-2,2.43
Cycloaromatic-C12,CCC1CCC2=CC=CC=C2C1,2-ethyl tetralin,C12H16,ETHYLTETRA-2,2.21
Cycloaromatic-C13,CCCC1CCC2=CC=CC=C2C1,2-propyl tetralin,C13H18,PROPYLTETRA-2,1.46
Cycloaromatic-C14,CCCCC1CCC2=CC=CC=C2C1,2-butyl tetralin,C14H20,BUTYLTETRA-2,0.42
C07-Isoparaffin,CCCCC(C)C,2-methyl hexane,C7H16,C7H16-2,0.01
C08-Isoparaffin,CCCCCC(C)C,2-methyl heptane,C8H18,C8H18-2,0.31
C09-Isoparaffin,CCCCCCC(C)C,2-methyl octane,C9H20,C9H20-2,4.12
C10-Isoparaffin,CCCCCCCC(C)C,2-methyl nonane,C10H22,C10H22-2,6.63
C11-Isoparaffin,CCCCCCCCC(C)C,2-methyl decane,C11H24,C11H24-2,5.02
C12-Isoparaffin,CCCCCCCCCC(C)C,2-methyl undecane,C12H26,C12H26-2,3.21
C13-Isoparaffin,CCCCCCCCCCC(C)C,2-methyl dodecane,C13H28,C13H28-2,2.95
C14-Isoparaffin,CCCCCCCCCCCC(C)C,2-methyl tridecane,C14H30,C14H30-2,2.39
C15-Isoparaffin,CCCCCCCCCCCCC(C)C,2-methyl tetradecane,C15H32,C15H32-2,1.66
C16-Isoparaffin,CCCCCCCCCCCCCC(C)C,2-methyl pentadecane,C16H34,C16H34-2,0.87
C17-Isoparaffin,CCCCCCCCCCCCCCC(C)C,2-methyl hexadecane,C17H36,C17H36-2,0.19
C18-Isoparaffin,CCCCCCCCCCCCCCCC(C)C,2-methyl heptadecane,C18H38,C18H38-2,0.08
C19-Isoparaffin,CCCCCCCCCCCCCCCCC(C)C,2-methyl octadecane,C19H40,C19H40-2,0.0
C20-Isoparaffin,CCCCCCCCCCCCCCCCCC(C)C,2-methyl nonadecane,C20H42,C20H42-2,0.0
n-C07,CCCCCCC,n-heptane,C7H16,NC7H16,0.0
n-C08,CCCCCCCC,n-octane,C8H18,NC8H18,0.67
n-C09,CCCCCCCCC,n-nonane,C9H20,NC9H20,4.42
n-C10,CCCCCCCCCC,n-decane,C10H22,NC10H22,4.73
n-C11,CCCCCCCCCCC,n-undecane,C11H24,NC11H24,3.44
n-C12,CCCCCCCCCCCC,n-dodecane,C12H26,NC12H26,2.49
n-C13,CCCCCCCCCCCCC,n-tridecane,C13H28,NC13H28,1.93
n-C14,CCCCCCCCCCCCCC,n-tetradecane,C14H30,NC14H30,1.31
n-C15,CCCCCCCCCCCCCCC,n-pentadecane,C15H32,NC15H32,0.79
n-C16,CCCCCCCCCCCCCCCC,n-hexadecane (cetane),C16H34,NC16H34,0.38
n-C17,CCCCCCCCCCCCCCCCC,n-heptadecane,C17H36,NC17H36,0.09
n-C18,CCCCCCCCCCCCCCCCCC,n-octadecane,C18H38,NC18H38,0.02
C07-Monocycloparaffin,CC1CCCCC1,methyl cyclohexane,C7C14,C6H11CH3,0.19
C08-Monocycloparaffin,CCC1CCCCC1,ethyl cyclohexane,C8H16,C6H11C2H5,5.81
C09-Monocycloparaffin,CCCC1CCCCC1,propyl cyclohexane,C9H18,C6H11C3H7,5.26
C10-Monocycloparaffin,CCCCC1CCCCC1,butyl cyclohexane,C10H20,C6H11C4H9,4.58
C11-Monocycloparaffin,CCCCCC1CCCCC1,pentyl cyclohexane,C11H22,C6H11C5H11,2.82
C12-Monocycloparaffin,CCCCCCC1CCCCC1,hexyl cyclohexane,C12H24,C6H11C6H13,2.5
C13-Monocycloparaffin,CCCCCCCC1CCCCC1,heptyl cyclohexane,C13H26,C6H11C7H15,1.53
C14-Monocycloparaffin,CCCCCCCCC1CCCCC1,octyl cyclohexane,C14H28,C6H11C8H17,0.65
C15-Monocycloparaffin,CCCCCCCCCC1CCCCC1,nonyl cyclohexane,C15H30,C6H11C9H19,0.02
C16-Monocycloparaffin,CCCCCCCCCCC1CCCCC1,decyl cyclohexane,C16H32,C6H11C10H21,0.0
C17-Monocycloparaffin,CCCCCCCCCCCC1CCCCC1,undecyl cyclohexane,C17H34,C6H11C11H23,0.0
C08-Dicycloparaffin,C1CC2CCCC2C1,Octahydropentalene,C8H14,OHPEN,0.86
C09-Dicycloparaffin,C1CCC2CCCC2C1,Hydrindane,C9H16,HYDRIND,1.21
C10-Dicycloparaffin,C1CCC2CCCCC2C1,Decalin,C10H18,DECALIN,1.05
C11-Dicycloparaffin,CC1CCC2CCCCC2C1,2-methyldecalin,C11H20,METHYLDECALIN-2,0.8
C12-Dicycloparaffin,CCC1CCC2CCCCC2C1,2-ethyldecalin,C12H22,ETHYLDECALIN-2,0.27
C13-Dicycloparaffin,CCCC1CCC2CCCCC2C1,2-propyldecalin,C13H24,PROPYLDECALIN-2,0.09
C14-Dicycloparaffin,CCCCCC1CCC2CCCCC2C1,2-butyldecalin,C14H26,BUTYLDECALIN-2,0.0
C15-Dicycloparaffin,CCCCCC1CCC2CCCCC2C1,2-pentyldecalin,C15H28,PENTYLDECALIN-2,0.0
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,C1CC2C(C1)C1CCCC21,C10H16,TRICYCLO-C10,0.0
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,C1CC2CC3CCCC3C2C1,C11H18,TRICYCLO-C11,0.0
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,C1CC2CC3CCCC3CC2C1,C12H20,TRICYCLO-C12,0.0
